,sentence,id,article_id,valence,arousal,is_annotated,is_miscellaneous,rank_value
186,"This not only costs Microsoft in lost revenue, but is also holding back the spread of its newest Windows 8 version  analysts say even buyers of pirate software prefer older versions.",98691,15269,0.38,0.44,True,False,0.46
187,"Clementina Previ, 53, from Lodi in northern Italy, said the brand did not offer exciting new collections in the same way as peers.",100056,15368,0.24,0.37,True,False,0.66
188,"Comcast Corp, which is seeking regulatory approval for its $45.2 billion bid for Time Warner Cable, reported a betterthanexpected profit last week, citing the highest number of customer additions for its highspeed Internet in six years.",101430,15471,0.83,0.57,True,False,0.9
189,"""They want to give the customer the best picture of the factory, so when something's going wrong, they have to hide it,"" said Evelyne Mazaleyrat, product manager, food service for food auditor Bureau Veritas in Asia.",101869,15514,0.4,0.61,True,False,0.55
190,Food safety is one of the top issues for Chinese consumers after a scandal in 2008 where dairy products tainted with the industrial chemical melamine led to the deaths of six infants and made many thousands sick.(Reporting by Kazunori Takada;,102565,15578,0.32,0.66,True,False,0.24
191,"However, its results were overshadowed by the continued noise surrounding the costs associated with recalls, including one for a defective ignition switch linked to at least 13 deaths.",103054,15614,0.17,0.7,True,False,0.12
192,"""It seems counterintuitive, given the ruthlessness with which the market sold off yesterday, but in the broader context, the markets are generating a lot of attractive themes,"" said Peter Kenny, chief market strategist at Clearpool Group in New York.",104446,15755,0.68,0.61,True,False,0.73
193,"""There's quite a bit of junk out there.",104693,15776,0.32,0.63,True,False,0.93
194,"this year, Liberty teamed up with Discovery Communications (O:DISCA) to buy TV producer All3Media, Discovery took a controlling interest in European sports broadcaster Eurosport and Murdoch's 21st Century Fox has been seeking to buy Time Warner.",104851,15787,0.51,0.64,True,False,0.12
195,"In the pilot program, Staples sold only USPS shipping services and products.",105775,15870,0.54,0.49,True,False,0.95
196,She said her consumer protection subcommittee will hold another hearing in July.,108105,16123,0.49,0.51,True,False,0.97
197,"""The size of both of these potential legal claims are still unknown, but it looks like GM has sufficient cash on its balance sheet to handle it,"" said Christian Mayes, an analyst with Edward Jones.",108119,16123,0.54,0.63,True,False,0.69
198," General Motors (NYSE:GM) will pay a $35 million fine as part of the U.S. Transportation Department's investigation into the handling of faulty ignition switches in some of its vehicles, the automaker and department officials said Friday.",109007,16501,0.26,0.64,True,False,0.87
199,"Google reported a $198 million net loss from ""discontinued operations,"" which includes the Motorola smartphone business.",109837,16774,0.29,0.46,True,False,0.16
